text	Label
"? ??indihome msh buka google reset modem resta   bantu cs jg ttp gabisa kl datengin teknisi pas kerja errornya pas buka google gmail dibenerin sistem dtgin teknisi                              


"	Negative
"? ??misi iji piki indihimi                              


"	Negative
"? ??care tolong complain difollow up cuman telpon nanya problem selesai minggu urus hbo go blum beres                              


"	Negative
"? ?  ef  bb  bfbisa nya kmrn indihome gw ngelag di performance ini arghh sebel smp ke ubun               0a  0a  0a                              


"	Negative
"? ??halo handry siera cek nomor layan kecek sisi jaring pantau tidak_stabil stabil koneksi internet siera bantu laku resta   sistem                              


"	Negative
"? ??hi veiyaa felas cek jaring pantau los langkah angan kabel patch cord warna hitam kuning ujung warna biru pasang felas                              


"	Negative
"? ??gue pake wifi biar kenceng indihome allah puasa jan bikin kesel deh                              


"	Negative
"? ??hi adetiya felas cek koneksi jaring kakak pantau optimal stabil jaring internet felas bantu laku refresh jaring sistem                              


"	Negative
"? ??ayan jelekkkk kali telpon minggu tidak_ada respon balas dm                              


"	Negative
"? ??masih pake cape hati ayan elus dada banget tung wkwkwk                              


"	Negative
"? ??halo asep jaring internet bantu cek tindaklanjuti belum_itu lesta konfirmasi nomor hp utama aktif sila informasi nomor                              


"	Negative
"? ??indihome mmg kek tai                              


"	Negative
"? ??indihome tidak_jelas                              


"	Negative
"? ??min lapor indihome dipake minggu                              


"	Negative
"? ??mau lapor ganggu internet minggu                              


"	Negative
"? ??sudah kali tiket langsung close otomatis sistem kerja care                              


"	Negative
"? ??hati komen indihome                              


"	Negative
"? ??mohon ganggu jaring alamat gang anyar bangetayu wet    genuk semarang nomor langgan                              


"	Negative
"? ??ingfo indihome los                              


"	Negative
"? ??indihome ajg nge domain lost connect                              


"	Negative
"? ??indihome gk                              


"	Negative
"? ??halo indihome kendala tolong cek ajuk adu dm                              


"	Negative
"? ??pake indihome coba puasa berat                              


"	Negative
"? ??harus lapor mn lgi nenuntut uang lampir bukti tunggu emang kerja icon net                              


"	Negative
"? ??   halo lea maaf bikin nyaman cek kena keluh akses indi                              


"	Negative
"? ??tarif layan internet indihome milik pt telkom indonesia sero dampak bijak pajak nilai ppn persen                              


"	Negative
"? ??tolong evaluasi kinerja ayan burukkk                              


"	Negative
"? ??terus baru rubah paket proses sampe dateng sampe tagih tetep tidak_ada rubah tinggal rumah keluarga pake indihome stop karna ayan buruk                              


"	Negative
"? ??apasih indihome bapuk                              


"	Negative
"? ??   after realizing this week end ep ep                              


"	Negative
"? ??halo lea maaf bikin nyaman cek kena keluh akses indihome tv sila informasi kode error muncul tv nomor layan nama                              


"	Negative
"? ??masih sodaraan indihome                              


"	Negative
"? ??rumah jelek banget beg kalo indihome huft suwedih                              


"	Negative
"? ??indihome lemot banget                              


"	Negative
"? ??ganggu                              


"	Negative
"? ??apakah kompensasi tagih wilayah merauke alami rusak jaring indihome kitar                              


"	Negative
"? ??min kantor pasang asti net indie home mb bayar mahal bukan_makin bagus jaring nda masuk pas masuk buka google lambat telpon teknis suruh speed test                              


"	Negative
